,Year,Region,Technology,Carrier,Value
0,2025,reg1,NG_supply,NG,267511.1777264894
1,2026,reg1,NG_supply,NG,279387.5311232606
2,2027,reg1,NG_supply,NG,272762.40280487697
3,2028,reg1,NG_supply,NG,267914.1436503363
4,2029,reg1,NG_supply,NG,261784.77079382082
5,2030,reg1,NG_supply,NG,249980.77177820366
6,2031,reg1,NG_supply,NG,241876.31869858305
7,2032,reg1,NG_supply,NG,231598.64810492593
8,2033,reg1,NG_supply,NG,222383.0640560671
9,2034,reg1,NG_supply,NG,212311.9007560496
10,2035,reg1,NG_supply,NG,208022.5493299611
11,2036,reg1,NG_supply,NG,204236.0335996741
12,2037,reg1,NG_supply,NG,204393.21193392598
13,2038,reg1,NG_supply,NG,203856.55705833746
14,2039,reg1,NG_supply,NG,203826.26030660787
15,2040,reg1,NG_supply,NG,204401.3446561422
16,2041,reg1,NG_supply,NG,210114.72507056844
17,2042,reg1,NG_supply,NG,215076.2966488935
18,2043,reg1,NG_supply,NG,218024.6228999584
19,2044,reg1,NG_supply,NG,218951.3610523172
20,2045,reg1,NG_supply,NG,217702.32902397387
21,2046,reg1,NG_supply,NG,209726.72459736615
22,2047,reg1,NG_supply,NG,201090.50005271687
23,2048,reg1,NG_supply,NG,195883.3945285483
24,2049,reg1,NG_supply,NG,188811.47301215294
25,2050,reg1,NG_supply,NG,181043.6809290756
26,2051,reg1,NG_supply,NG,185653.95265029647
27,2052,reg1,NG_supply,NG,187314.46474147117
28,2053,reg1,NG_supply,NG,188744.32309286366
29,2054,reg1,NG_supply,NG,198853.58996512365
30,2055,reg1,NG_supply,NG,208124.67523950693
31,2056,reg1,NG_supply,NG,223215.58983666217
32,2057,reg1,NG_supply,NG,233454.09442996184
33,2058,reg1,NG_supply,NG,244258.26001193526
34,2059,reg1,NG_supply,NG,255432.33889071032
35,2060,reg1,NG_supply,NG,273522.5897505807
36,2025,reg1,SFF_supply,Solid_fossil_fuels,9540.399291570613
37,2026,reg1,SFF_supply,Solid_fossil_fuels,7209.914226554355
38,2027,reg1,SFF_supply,Solid_fossil_fuels,4232.958989393169
39,2028,reg1,SFF_supply,Solid_fossil_fuels,3833.9033275753154
40,2029,reg1,SFF_supply,Solid_fossil_fuels,3410.9043260483922
41,2030,reg1,SFF_supply,Solid_fossil_fuels,0.0
42,2031,reg1,SFF_supply,Solid_fossil_fuels,0.0
43,2032,reg1,SFF_supply,Solid_fossil_fuels,0.0
44,2033,reg1,SFF_supply,Solid_fossil_fuels,0.0
45,2034,reg1,SFF_supply,Solid_fossil_fuels,0.0
46,2035,reg1,SFF_supply,Solid_fossil_fuels,0.0
47,2036,reg1,SFF_supply,Solid_fossil_fuels,0.0
48,2037,reg1,SFF_supply,Solid_fossil_fuels,0.0
49,2038,reg1,SFF_supply,Solid_fossil_fuels,0.0
