,Year,Region,Technology,Carrier,Value
0,2025,reg1,Pump_hydro_ST,Electricity,0.0
1,2026,reg1,Pump_hydro_ST,Electricity,0.0
2,2027,reg1,Pump_hydro_ST,Electricity,0.0
3,2028,reg1,Pump_hydro_ST,Electricity,2594.149765993573
4,2029,reg1,Pump_hydro_ST,Electricity,7097.252566420899
5,2030,reg1,Pump_hydro_ST,Electricity,7981.2069523442415
6,2031,reg1,Pump_hydro_ST,Electricity,9937.479182999052
7,2032,reg1,Pump_hydro_ST,Electricity,13426.103540492408
8,2033,reg1,Pump_hydro_ST,Electricity,14561.226935750099
9,2034,reg1,Pump_hydro_ST,Electricity,15150.798070722984
10,2035,reg1,Pump_hydro_ST,Electricity,15786.054548289947
11,2036,reg1,Pump_hydro_ST,Electricity,16369.569852812627
12,2037,reg1,Pump_hydro_ST,Electricity,16732.66376411377
13,2038,reg1,Pump_hydro_ST,Electricity,17094.774094634235
14,2039,reg1,Pump_hydro_ST,Electricity,17462.26614612915
15,2040,reg1,Pump_hydro_ST,Electricity,17835.139918598525
16,2041,reg1,Pump_hydro_ST,Electricity,17042.012210285302
17,2042,reg1,Pump_hydro_ST,Electricity,17295.240162923208
18,2043,reg1,Pump_hydro_ST,Electricity,17605.420142451483
19,2044,reg1,Pump_hydro_ST,Electricity,17971.341093357376
20,2045,reg1,Pump_hydro_ST,Electricity,18517.024848618796
21,2046,reg1,Pump_hydro_ST,Electricity,22267.83234993629
22,2047,reg1,Pump_hydro_ST,Electricity,24489.265576692258
23,2048,reg1,Pump_hydro_ST,Electricity,24645.52999999998
24,2049,reg1,Pump_hydro_ST,Electricity,24171.57749999998
25,2050,reg1,Pump_hydro_ST,Electricity,23697.62499999998
26,2051,reg1,Pump_hydro_ST,Electricity,23223.672499999986
27,2052,reg1,Pump_hydro_ST,Electricity,22749.719999999987
28,2053,reg1,Pump_hydro_ST,Electricity,22275.76749999999
29,2054,reg1,Pump_hydro_ST,Electricity,21246.373958972945
30,2055,reg1,Pump_hydro_ST,Electricity,20023.75637072543
31,2056,reg1,Pump_hydro_ST,Electricity,18766.57831183012
32,2057,reg1,Pump_hydro_ST,Electricity,17994.098880645233
33,2058,reg1,Pump_hydro_ST,Electricity,17417.754375
34,2059,reg1,Pump_hydro_ST,Electricity,17003.0459375
35,2060,reg1,Pump_hydro_ST,Electricity,18696.035892603373
36,2025,reg1,Electrochemical_ST,Electricity,0.0
37,2026,reg1,Electrochemical_ST,Electricity,0.0
38,2027,reg1,Electrochemical_ST,Electricity,1791.205412662765
39,2028,reg1,Electrochemical_ST,Electricity,3877.237855144331
40,2029,reg1,Electrochemical_ST,Electricity,3877.237855144331
41,2030,reg1,Electrochemical_ST,Electricity,3877.237855144331
42,2031,reg1,Electrochemical_ST,Electricity,3877.237855144331
43,2032,reg1,Electrochemical_ST,Electricity,3877.237855144331
