,Year,Region,Technology,Carrier,Value
0,2025,reg1,NG_supply,NG,267511.1777264894
1,2026,reg1,NG_supply,NG,279387.5311232606
2,2027,reg1,NG_supply,NG,272762.4028048769
3,2028,reg1,NG_supply,NG,267914.14365033637
4,2029,reg1,NG_supply,NG,261784.77079382082
5,2030,reg1,NG_supply,NG,249980.77177820372
6,2031,reg1,NG_supply,NG,241876.31869858305
7,2032,reg1,NG_supply,NG,232813.92593729586
8,2033,reg1,NG_supply,NG,234318.87274899968
9,2034,reg1,NG_supply,NG,236668.8703231434
10,2035,reg1,NG_supply,NG,235593.5111978884
11,2036,reg1,NG_supply,NG,228051.1346189368
12,2037,reg1,NG_supply,NG,234714.43156672662
13,2038,reg1,NG_supply,NG,238431.96213046694
14,2039,reg1,NG_supply,NG,244142.05531097794
15,2040,reg1,NG_supply,NG,247284.4933247374
16,2041,reg1,NG_supply,NG,263899.49272111786
17,2042,reg1,NG_supply,NG,279826.4097535893
18,2043,reg1,NG_supply,NG,293960.18764913257
19,2044,reg1,NG_supply,NG,291575.4171123368
20,2045,reg1,NG_supply,NG,288933.5419193583
21,2046,reg1,NG_supply,NG,287054.49027239624
22,2047,reg1,NG_supply,NG,282772.65124794847
23,2048,reg1,NG_supply,NG,277016.2424861181
24,2049,reg1,NG_supply,NG,267286.57861769234
25,2050,reg1,NG_supply,NG,255738.47558942507
26,2051,reg1,NG_supply,NG,258308.13101409608
27,2052,reg1,NG_supply,NG,260162.11492141284
28,2053,reg1,NG_supply,NG,262968.02209727047
29,2054,reg1,NG_supply,NG,265773.9292731292
30,2055,reg1,NG_supply,NG,267587.7819500015
31,2056,reg1,NG_supply,NG,269467.71867997915
32,2057,reg1,NG_supply,NG,269470.95646310074
33,2058,reg1,NG_supply,NG,269971.5037494268
34,2059,reg1,NG_supply,NG,281066.1865112178
35,2060,reg1,NG_supply,NG,302017.7778850517
36,2025,reg1,SFF_supply,Solid_fossil_fuels,9540.399291570613
37,2026,reg1,SFF_supply,Solid_fossil_fuels,7209.914226554355
38,2027,reg1,SFF_supply,Solid_fossil_fuels,4232.958989393169
39,2028,reg1,SFF_supply,Solid_fossil_fuels,3833.903327575316
40,2029,reg1,SFF_supply,Solid_fossil_fuels,3410.9043260483922
41,2030,reg1,SFF_supply,Solid_fossil_fuels,0.0
42,2031,reg1,SFF_supply,Solid_fossil_fuels,0.0
43,2032,reg1,SFF_supply,Solid_fossil_fuels,0.0
44,2033,reg1,SFF_supply,Solid_fossil_fuels,0.0
45,2034,reg1,SFF_supply,Solid_fossil_fuels,0.0
46,2035,reg1,SFF_supply,Solid_fossil_fuels,0.0
47,2036,reg1,SFF_supply,Solid_fossil_fuels,0.0
48,2037,reg1,SFF_supply,Solid_fossil_fuels,0.0
49,2038,reg1,SFF_supply,Solid_fossil_fuels,0.0
