,Year,Region,Technology,Carrier,Value
0,2025,reg1,Pump_hydro_ST,Electricity,0.0
1,2026,reg1,Pump_hydro_ST,Electricity,0.0
2,2027,reg1,Pump_hydro_ST,Electricity,0.0
3,2028,reg1,Pump_hydro_ST,Electricity,2594.1497659935735
4,2029,reg1,Pump_hydro_ST,Electricity,7097.252566420895
5,2030,reg1,Pump_hydro_ST,Electricity,7981.206952344241
6,2031,reg1,Pump_hydro_ST,Electricity,9937.47918299907
7,2032,reg1,Pump_hydro_ST,Electricity,12766.829274391494
8,2033,reg1,Pump_hydro_ST,Electricity,11207.19117159804
9,2034,reg1,Pump_hydro_ST,Electricity,10013.456419722123
10,2035,reg1,Pump_hydro_ST,Electricity,10457.047940178554
11,2036,reg1,Pump_hydro_ST,Electricity,14084.137296926674
12,2037,reg1,Pump_hydro_ST,Electricity,11952.934708850182
13,2038,reg1,Pump_hydro_ST,Electricity,11316.022378644127
14,2039,reg1,Pump_hydro_ST,Electricity,10530.522244536745
15,2040,reg1,Pump_hydro_ST,Electricity,12297.609438587502
16,2041,reg1,Pump_hydro_ST,Electricity,12467.253033471186
17,2042,reg1,Pump_hydro_ST,Electricity,12210.715674175895
18,2043,reg1,Pump_hydro_ST,Electricity,12035.32755737501
19,2044,reg1,Pump_hydro_ST,Electricity,13737.021646067855
20,2045,reg1,Pump_hydro_ST,Electricity,14385.443771171078
21,2046,reg1,Pump_hydro_ST,Electricity,14986.987464234891
22,2047,reg1,Pump_hydro_ST,Electricity,15289.584770506723
23,2048,reg1,Pump_hydro_ST,Electricity,15604.793161424668
24,2049,reg1,Pump_hydro_ST,Electricity,16098.699737410127
25,2050,reg1,Pump_hydro_ST,Electricity,17003.0459375
26,2051,reg1,Pump_hydro_ST,Electricity,16502.278167438417
27,2052,reg1,Pump_hydro_ST,Electricity,16499.897618118914
28,2053,reg1,Pump_hydro_ST,Electricity,16415.71433298426
29,2054,reg1,Pump_hydro_ST,Electricity,16331.531047849603
30,2055,reg1,Pump_hydro_ST,Electricity,16161.59562052619
31,2056,reg1,Pump_hydro_ST,Electricity,16051.156557828952
32,2057,reg1,Pump_hydro_ST,Electricity,16051.156557828966
33,2058,reg1,Pump_hydro_ST,Electricity,16045.731689865868
34,2059,reg1,Pump_hydro_ST,Electricity,15600.837678656777
35,2060,reg1,Pump_hydro_ST,Electricity,18289.57785330367
36,2025,reg1,Electrochemical_ST,Electricity,0.0
37,2026,reg1,Electrochemical_ST,Electricity,0.0
38,2027,reg1,Electrochemical_ST,Electricity,1791.205412662765
39,2028,reg1,Electrochemical_ST,Electricity,3877.237855144331
40,2029,reg1,Electrochemical_ST,Electricity,3877.237855144331
41,2030,reg1,Electrochemical_ST,Electricity,3877.2378551443317
42,2031,reg1,Electrochemical_ST,Electricity,3877.237855144331
43,2032,reg1,Electrochemical_ST,Electricity,3877.237855144331
