,Year,Region,Technology,Carrier,Value
0,2025,reg1,NG_supply,NG,267511.1777264894
1,2026,reg1,NG_supply,NG,279387.5311232606
2,2027,reg1,NG_supply,NG,272762.4028048769
3,2028,reg1,NG_supply,NG,267914.1436503364
4,2029,reg1,NG_supply,NG,261786.09980275622
5,2030,reg1,NG_supply,NG,249980.1018929605
6,2031,reg1,NG_supply,NG,241875.64881334087
7,2032,reg1,NG_supply,NG,231598.02244831118
8,2033,reg1,NG_supply,NG,222674.2108849038
9,2034,reg1,NG_supply,NG,209041.5780528229
10,2035,reg1,NG_supply,NG,197330.88054932375
11,2036,reg1,NG_supply,NG,186087.62954466924
12,2037,reg1,NG_supply,NG,180920.26945200382
13,2038,reg1,NG_supply,NG,170896.5485426834
14,2039,reg1,NG_supply,NG,160924.59576980682
15,2040,reg1,NG_supply,NG,146808.42572965284
16,2041,reg1,NG_supply,NG,150274.90000548447
17,2042,reg1,NG_supply,NG,155919.4624432915
18,2043,reg1,NG_supply,NG,159075.48561847088
19,2044,reg1,NG_supply,NG,158605.7442981422
20,2045,reg1,NG_supply,NG,159099.60819942853
21,2046,reg1,NG_supply,NG,156534.2477744483
22,2047,reg1,NG_supply,NG,151885.52507210252
23,2048,reg1,NG_supply,NG,147001.38554833375
24,2049,reg1,NG_supply,NG,144378.89578929928
25,2050,reg1,NG_supply,NG,141042.96032044673
26,2051,reg1,NG_supply,NG,147563.518315802
27,2052,reg1,NG_supply,NG,156668.77153401228
28,2053,reg1,NG_supply,NG,168757.22496284076
29,2054,reg1,NG_supply,NG,175972.06456162175
30,2055,reg1,NG_supply,NG,178667.14141010796
31,2056,reg1,NG_supply,NG,178718.71536245913
32,2057,reg1,NG_supply,NG,178603.79415374727
33,2058,reg1,NG_supply,NG,178580.93252156844
34,2059,reg1,NG_supply,NG,180271.0304252514
35,2060,reg1,NG_supply,NG,195846.33061377186
36,2025,reg1,SFF_supply,Solid_fossil_fuels,9540.399291570613
37,2026,reg1,SFF_supply,Solid_fossil_fuels,7209.914226554355
38,2027,reg1,SFF_supply,Solid_fossil_fuels,4232.958989393169
39,2028,reg1,SFF_supply,Solid_fossil_fuels,3833.9033275753154
40,2029,reg1,SFF_supply,Solid_fossil_fuels,3410.9043260483922
41,2030,reg1,SFF_supply,Solid_fossil_fuels,0.0
42,2031,reg1,SFF_supply,Solid_fossil_fuels,0.0
43,2032,reg1,SFF_supply,Solid_fossil_fuels,0.0
44,2033,reg1,SFF_supply,Solid_fossil_fuels,0.0
45,2034,reg1,SFF_supply,Solid_fossil_fuels,0.0
46,2035,reg1,SFF_supply,Solid_fossil_fuels,0.0
47,2036,reg1,SFF_supply,Solid_fossil_fuels,0.0
48,2037,reg1,SFF_supply,Solid_fossil_fuels,0.0
49,2038,reg1,SFF_supply,Solid_fossil_fuels,0.0
