,Year,Region,Technology,Carrier,Value
0,2025,reg1,Pump_hydro_ST,Electricity,0.0
1,2026,reg1,Pump_hydro_ST,Electricity,0.0
2,2027,reg1,Pump_hydro_ST,Electricity,0.0
3,2028,reg1,Pump_hydro_ST,Electricity,2594.149765993578
4,2029,reg1,Pump_hydro_ST,Electricity,7097.25256642091
5,2030,reg1,Pump_hydro_ST,Electricity,7981.206952344255
6,2031,reg1,Pump_hydro_ST,Electricity,9937.479182999068
7,2032,reg1,Pump_hydro_ST,Electricity,13426.10354049237
8,2033,reg1,Pump_hydro_ST,Electricity,14561.226935750099
9,2034,reg1,Pump_hydro_ST,Electricity,15175.39186830915
10,2035,reg1,Pump_hydro_ST,Electricity,15786.054548289949
11,2036,reg1,Pump_hydro_ST,Electricity,16369.569852812623
12,2037,reg1,Pump_hydro_ST,Electricity,16732.66376411377
13,2038,reg1,Pump_hydro_ST,Electricity,20365.49346963426
14,2039,reg1,Pump_hydro_ST,Electricity,24074.127083629148
15,2040,reg1,Pump_hydro_ST,Electricity,23867.1418395786
16,2041,reg1,Pump_hydro_ST,Electricity,24158.36324768805
17,2042,reg1,Pump_hydro_ST,Electricity,24470.453779926618
18,2043,reg1,Pump_hydro_ST,Electricity,24848.001604851284
19,2044,reg1,Pump_hydro_ST,Electricity,25250.67870886834
20,2045,reg1,Pump_hydro_ST,Electricity,27370.255576469255
21,2046,reg1,Pump_hydro_ST,Electricity,27423.65193920547
22,2047,reg1,Pump_hydro_ST,Electricity,27300.99780074521
23,2048,reg1,Pump_hydro_ST,Electricity,27660.8771347226
24,2049,reg1,Pump_hydro_ST,Electricity,27804.462127700033
25,2050,reg1,Pump_hydro_ST,Electricity,27433.125411838068
26,2051,reg1,Pump_hydro_ST,Electricity,26779.324301193796
27,2052,reg1,Pump_hydro_ST,Electricity,26123.22358001095
28,2053,reg1,Pump_hydro_ST,Electricity,25663.357921833558
29,2054,reg1,Pump_hydro_ST,Electricity,24443.996364028662
30,2055,reg1,Pump_hydro_ST,Electricity,23462.008215036294
31,2056,reg1,Pump_hydro_ST,Electricity,23040.39897064712
32,2057,reg1,Pump_hydro_ST,Electricity,22578.614005360025
33,2058,reg1,Pump_hydro_ST,Electricity,22144.669472542082
34,2059,reg1,Pump_hydro_ST,Electricity,22418.828755875664
35,2060,reg1,Pump_hydro_ST,Electricity,22291.82067030997
36,2025,reg1,Electrochemical_ST,Electricity,0.0
37,2026,reg1,Electrochemical_ST,Electricity,0.0
38,2027,reg1,Electrochemical_ST,Electricity,1791.205412662765
39,2028,reg1,Electrochemical_ST,Electricity,3877.237855144331
40,2029,reg1,Electrochemical_ST,Electricity,3877.237855144331
41,2030,reg1,Electrochemical_ST,Electricity,3877.237855144331
42,2031,reg1,Electrochemical_ST,Electricity,3877.237855144331
43,2032,reg1,Electrochemical_ST,Electricity,3877.2378551443308
