,Datetime,Region,Technology,Cost,Value
0,2025,reg1,NG_supply,fixed_cost,0.0
1,2026,reg1,NG_supply,fixed_cost,0.0
2,2027,reg1,NG_supply,fixed_cost,0.0
3,2028,reg1,NG_supply,fixed_cost,0.0
4,2029,reg1,NG_supply,fixed_cost,0.0
5,2030,reg1,NG_supply,fixed_cost,0.0
6,2031,reg1,NG_supply,fixed_cost,0.0
7,2032,reg1,NG_supply,fixed_cost,0.0
8,2033,reg1,NG_supply,fixed_cost,0.0
9,2034,reg1,NG_supply,fixed_cost,0.0
10,2035,reg1,NG_supply,fixed_cost,0.0
11,2036,reg1,NG_supply,fixed_cost,0.0
12,2037,reg1,NG_supply,fixed_cost,0.0
13,2038,reg1,NG_supply,fixed_cost,0.0
14,2039,reg1,NG_supply,fixed_cost,0.0
15,2040,reg1,NG_supply,fixed_cost,0.0
16,2041,reg1,NG_supply,fixed_cost,0.0
17,2042,reg1,NG_supply,fixed_cost,0.0
18,2043,reg1,NG_supply,fixed_cost,0.0
19,2044,reg1,NG_supply,fixed_cost,0.0
20,2045,reg1,NG_supply,fixed_cost,0.0
21,2046,reg1,NG_supply,fixed_cost,0.0
22,2047,reg1,NG_supply,fixed_cost,0.0
23,2048,reg1,NG_supply,fixed_cost,0.0
24,2049,reg1,NG_supply,fixed_cost,0.0
25,2050,reg1,NG_supply,fixed_cost,0.0
26,2051,reg1,NG_supply,fixed_cost,0.0
27,2052,reg1,NG_supply,fixed_cost,0.0
28,2053,reg1,NG_supply,fixed_cost,0.0
29,2054,reg1,NG_supply,fixed_cost,0.0
30,2055,reg1,NG_supply,fixed_cost,0.0
31,2056,reg1,NG_supply,fixed_cost,0.0
32,2057,reg1,NG_supply,fixed_cost,0.0
33,2058,reg1,NG_supply,fixed_cost,0.0
34,2059,reg1,NG_supply,fixed_cost,0.0
35,2060,reg1,NG_supply,fixed_cost,0.0
36,2025,reg1,SFF_supply,fixed_cost,0.0
37,2026,reg1,SFF_supply,fixed_cost,0.0
38,2027,reg1,SFF_supply,fixed_cost,0.0
39,2028,reg1,SFF_supply,fixed_cost,0.0
40,2029,reg1,SFF_supply,fixed_cost,0.0
41,2030,reg1,SFF_supply,fixed_cost,0.0
42,2031,reg1,SFF_supply,fixed_cost,0.0
43,2032,reg1,SFF_supply,fixed_cost,0.0
44,2033,reg1,SFF_supply,fixed_cost,0.0
45,2034,reg1,SFF_supply,fixed_cost,0.0
46,2035,reg1,SFF_supply,fixed_cost,0.0
47,2036,reg1,SFF_supply,fixed_cost,0.0
48,2037,reg1,SFF_supply,fixed_cost,0.0
49,2038,reg1,SFF_supply,fixed_cost,0.0
50,2039,reg1,SFF_supply,fixed_cost,0.0
51,2040,reg1,SFF_supply,fixed_cost,0.0
52,2041,reg1,SFF_supply,fixed_cost,0.0
53,2042,reg1,SFF_supply,fixed_cost,0.0
54,2043,reg1,SFF_supply,fixed_cost,0.0
55,2044,reg1,SFF_supply,fixed_cost,0.0
56,2045,reg1,SFF_supply,fixed_cost,0.0
57,2046,reg1,SFF_supply,fixed_cost,0.0
58,2047,reg1,SFF_supply,fixed_cost,0.0
59,2048,reg1,SFF_supply,fixed_cost,0.0
60,2049,reg1,SFF_supply,fixed_cost,0.0
61,2050,reg1,SFF_supply,fixed_cost,0.0
62,2051,reg1,SFF_supply,fixed_cost,0.0
63,2052,reg1,SFF_supply,fixed_cost,0.0
64,2053,reg1,SFF_supply,fixed_cost,0.0
