,Year,Timesteps,Region,Technology,Carrier,Value
0,2025,1,reg1,NG_supply,NG,19570.996211347716
1,2025,2,reg1,NG_supply,NG,6555.903271224779
2,2025,3,reg1,NG_supply,NG,12459.391034890215
3,2025,4,reg1,NG_supply,NG,10108.62290264963
4,2025,5,reg1,NG_supply,NG,7253.333562930418
5,2025,6,reg1,NG_supply,NG,6878.147883180724
6,2025,7,reg1,NG_supply,NG,11443.033412588202
7,2025,8,reg1,NG_supply,NG,7001.638428749588
8,2025,9,reg1,NG_supply,NG,8331.718881594395
9,2025,10,reg1,NG_supply,NG,6909.953541699686
10,2025,11,reg1,NG_supply,NG,15470.445558775195
11,2025,12,reg1,NG_supply,NG,10433.403778827831
12,2025,13,reg1,NG_supply,NG,22094.239674366603
13,2025,14,reg1,NG_supply,NG,10234.16246317729
14,2025,15,reg1,NG_supply,NG,19825.993398168062
15,2025,16,reg1,NG_supply,NG,8488.79584523462
16,2025,17,reg1,NG_supply,NG,7517.718000765248
17,2025,18,reg1,NG_supply,NG,14899.50165306126
18,2025,19,reg1,NG_supply,NG,13375.760914745995
19,2025,20,reg1,NG_supply,NG,5756.616828363113
20,2025,21,reg1,NG_supply,NG,7900.600572359388
21,2025,22,reg1,NG_supply,NG,5693.9656948735865
22,2025,23,reg1,NG_supply,NG,13406.112732248595
23,2025,24,reg1,NG_supply,NG,15901.12148066719
24,2026,1,reg1,NG_supply,NG,14970.134927672367
25,2026,2,reg1,NG_supply,NG,10151.889649758192
26,2026,3,reg1,NG_supply,NG,12078.573387708682
27,2026,4,reg1,NG_supply,NG,7754.413378307072
28,2026,5,reg1,NG_supply,NG,11175.497955489871
29,2026,6,reg1,NG_supply,NG,7387.25205833561
30,2026,7,reg1,NG_supply,NG,7855.012060028931
31,2026,8,reg1,NG_supply,NG,11363.682691583377
32,2026,9,reg1,NG_supply,NG,12250.092043111015
33,2026,10,reg1,NG_supply,NG,13441.099758057077
34,2026,11,reg1,NG_supply,NG,10812.128921620138
35,2026,12,reg1,NG_supply,NG,9365.83747422918
36,2026,13,reg1,NG_supply,NG,11323.44136583705
37,2026,14,reg1,NG_supply,NG,25812.94093364734
38,2026,15,reg1,NG_supply,NG,8176.985032051339
39,2026,16,reg1,NG_supply,NG,6758.941632337653
