,Year,Region,Technology,Carrier,Value
0,2025,reg1,NG_supply,NG,267511.1777264894
1,2026,reg1,NG_supply,NG,274441.0988560161
2,2027,reg1,NG_supply,NG,263000.39535928424
3,2028,reg1,NG_supply,NG,255476.34065530947
4,2029,reg1,NG_supply,NG,242031.30878218106
5,2030,reg1,NG_supply,NG,230970.40071312926
6,2031,reg1,NG_supply,NG,218052.86928222026
7,2032,reg1,NG_supply,NG,203748.9998584602
8,2033,reg1,NG_supply,NG,190467.03895955032
9,2034,reg1,NG_supply,NG,178867.467461546
10,2035,reg1,NG_supply,NG,169783.24154639384
11,2036,reg1,NG_supply,NG,166636.84657464214
12,2037,reg1,NG_supply,NG,165539.91023687558
13,2038,reg1,NG_supply,NG,163441.81302691533
14,2039,reg1,NG_supply,NG,158165.57068358068
15,2040,reg1,NG_supply,NG,152635.83624437242
16,2041,reg1,NG_supply,NG,162002.95880197716
17,2042,reg1,NG_supply,NG,169864.2496784542
18,2043,reg1,NG_supply,NG,166399.8249388109
19,2044,reg1,NG_supply,NG,164389.46887378077
20,2045,reg1,NG_supply,NG,161302.62694131266
21,2046,reg1,NG_supply,NG,156658.06972356592
22,2047,reg1,NG_supply,NG,156926.6214853783
23,2048,reg1,NG_supply,NG,155320.8511765529
24,2049,reg1,NG_supply,NG,146577.50486035648
25,2050,reg1,NG_supply,NG,136532.2223526621
26,2051,reg1,NG_supply,NG,136702.904061294
27,2052,reg1,NG_supply,NG,138219.069900715
28,2053,reg1,NG_supply,NG,142880.52211351896
29,2054,reg1,NG_supply,NG,144575.83579119932
30,2055,reg1,NG_supply,NG,148682.40864924627
31,2056,reg1,NG_supply,NG,155246.49870821513
32,2057,reg1,NG_supply,NG,164928.04744188275
33,2058,reg1,NG_supply,NG,178959.70489454383
34,2059,reg1,NG_supply,NG,194132.42713309138
35,2060,reg1,NG_supply,NG,209443.47124708275
36,2025,reg1,SFF_supply,Solid_fossil_fuels,9540.399291570613
37,2026,reg1,SFF_supply,Solid_fossil_fuels,7209.914226554355
38,2027,reg1,SFF_supply,Solid_fossil_fuels,4232.958989393169
39,2028,reg1,SFF_supply,Solid_fossil_fuels,3833.9033275753154
40,2029,reg1,SFF_supply,Solid_fossil_fuels,3410.9043260483922
41,2030,reg1,SFF_supply,Solid_fossil_fuels,0.0
42,2031,reg1,SFF_supply,Solid_fossil_fuels,0.0
43,2032,reg1,SFF_supply,Solid_fossil_fuels,0.0
44,2033,reg1,SFF_supply,Solid_fossil_fuels,0.0
45,2034,reg1,SFF_supply,Solid_fossil_fuels,0.0
46,2035,reg1,SFF_supply,Solid_fossil_fuels,0.0
47,2036,reg1,SFF_supply,Solid_fossil_fuels,0.0
