,Year,Region,Technology,Carrier,Value
0,2025,reg1,Pump_hydro_ST,Electricity,0.0
1,2026,reg1,Pump_hydro_ST,Electricity,0.0
2,2027,reg1,Pump_hydro_ST,Electricity,73.1416954223073
3,2028,reg1,Pump_hydro_ST,Electricity,4458.303517925839
4,2029,reg1,Pump_hydro_ST,Electricity,7258.468898998889
5,2030,reg1,Pump_hydro_ST,Electricity,10545.223402167656
6,2031,reg1,Pump_hydro_ST,Electricity,13838.233424211814
7,2032,reg1,Pump_hydro_ST,Electricity,14727.186196870498
8,2033,reg1,Pump_hydro_ST,Electricity,15471.433865946223
9,2034,reg1,Pump_hydro_ST,Electricity,16220.62051977019
10,2035,reg1,Pump_hydro_ST,Electricity,17047.243125784087
11,2036,reg1,Pump_hydro_ST,Electricity,17640.946616724483
12,2037,reg1,Pump_hydro_ST,Electricity,18200.49734375976
13,2038,reg1,Pump_hydro_ST,Electricity,18684.92713925072
14,2039,reg1,Pump_hydro_ST,Electricity,20691.20924572915
15,2040,reg1,Pump_hydro_ST,Electricity,23236.97449173412
16,2041,reg1,Pump_hydro_ST,Electricity,22313.72585633622
17,2042,reg1,Pump_hydro_ST,Electricity,23145.13108127963
18,2043,reg1,Pump_hydro_ST,Electricity,26897.343603874826
19,2044,reg1,Pump_hydro_ST,Electricity,26711.92358374879
20,2045,reg1,Pump_hydro_ST,Electricity,26237.97108374879
21,2046,reg1,Pump_hydro_ST,Electricity,25764.01858374879
22,2047,reg1,Pump_hydro_ST,Electricity,25290.066083748792
23,2048,reg1,Pump_hydro_ST,Electricity,24816.113583748793
24,2049,reg1,Pump_hydro_ST,Electricity,24937.33630740222
25,2050,reg1,Pump_hydro_ST,Electricity,24937.362724121
26,2051,reg1,Pump_hydro_ST,Electricity,23721.032644404986
27,2052,reg1,Pump_hydro_ST,Electricity,22920.30358374879
28,2053,reg1,Pump_hydro_ST,Electricity,22446.351083748792
29,2054,reg1,Pump_hydro_ST,Electricity,21972.398583748793
30,2055,reg1,Pump_hydro_ST,Electricity,21498.44608374879
31,2056,reg1,Pump_hydro_ST,Electricity,21024.493583748794
32,2057,reg1,Pump_hydro_ST,Electricity,20361.87349977339
33,2058,reg1,Pump_hydro_ST,Electricity,19053.424155146717
34,2059,reg1,Pump_hydro_ST,Electricity,17744.97470816185
35,2060,reg1,Pump_hydro_ST,Electricity,18246.64727234158
36,2025,reg1,Electrochemical_ST,Electricity,0.0
37,2026,reg1,Electrochemical_ST,Electricity,0.0
38,2027,reg1,Electrochemical_ST,Electricity,3435.5505922507973
39,2028,reg1,Electrochemical_ST,Electricity,3877.237855144331
40,2029,reg1,Electrochemical_ST,Electricity,3877.2378551443308
41,2030,reg1,Electrochemical_ST,Electricity,3877.237855144331
42,2031,reg1,Electrochemical_ST,Electricity,3877.237855144331
