,Year,Region,Technology,Carrier,Value
0,2025,reg1,NG_supply,NG,267511.1777264894
1,2026,reg1,NG_supply,NG,274441.0988560162
2,2027,reg1,NG_supply,NG,263000.39535928424
3,2028,reg1,NG_supply,NG,255476.34065530953
4,2029,reg1,NG_supply,NG,242401.73564520167
5,2030,reg1,NG_supply,NG,232271.47836146248
6,2031,reg1,NG_supply,NG,223354.78822380927
7,2032,reg1,NG_supply,NG,217276.31608221016
8,2033,reg1,NG_supply,NG,214035.36862503085
9,2034,reg1,NG_supply,NG,221990.50536065275
10,2035,reg1,NG_supply,NG,225021.858313121
11,2036,reg1,NG_supply,NG,214205.2906713163
12,2037,reg1,NG_supply,NG,218391.39264772355
13,2038,reg1,NG_supply,NG,219703.51874257356
14,2039,reg1,NG_supply,NG,219103.60248504567
15,2040,reg1,NG_supply,NG,218816.2592801266
16,2041,reg1,NG_supply,NG,233720.0132863263
17,2042,reg1,NG_supply,NG,247056.7192644029
18,2043,reg1,NG_supply,NG,258612.70209559205
19,2044,reg1,NG_supply,NG,268328.5202137573
20,2045,reg1,NG_supply,NG,266897.64024844463
21,2046,reg1,NG_supply,NG,259889.99287016672
22,2047,reg1,NG_supply,NG,263190.3036550382
23,2048,reg1,NG_supply,NG,253929.99027563765
24,2049,reg1,NG_supply,NG,245219.99680461
25,2050,reg1,NG_supply,NG,225859.23249550752
26,2051,reg1,NG_supply,NG,223289.56579438152
27,2052,reg1,NG_supply,NG,223380.7940735733
28,2053,reg1,NG_supply,NG,225336.98659028608
29,2054,reg1,NG_supply,NG,228055.35036177677
30,2055,reg1,NG_supply,NG,228680.4267957713
31,2056,reg1,NG_supply,NG,228916.59449251133
32,2057,reg1,NG_supply,NG,228919.83227563114
33,2058,reg1,NG_supply,NG,228974.60138893672
34,2059,reg1,NG_supply,NG,226581.14355413403
35,2060,reg1,NG_supply,NG,237910.02117144968
36,2025,reg1,SFF_supply,Solid_fossil_fuels,9540.399291570613
37,2026,reg1,SFF_supply,Solid_fossil_fuels,7209.914226554355
38,2027,reg1,SFF_supply,Solid_fossil_fuels,4232.958989393169
39,2028,reg1,SFF_supply,Solid_fossil_fuels,3833.9033275753154
40,2029,reg1,SFF_supply,Solid_fossil_fuels,3410.9043260483922
41,2030,reg1,SFF_supply,Solid_fossil_fuels,0.0
42,2031,reg1,SFF_supply,Solid_fossil_fuels,0.0
43,2032,reg1,SFF_supply,Solid_fossil_fuels,0.0
44,2033,reg1,SFF_supply,Solid_fossil_fuels,0.0
45,2034,reg1,SFF_supply,Solid_fossil_fuels,0.0
46,2035,reg1,SFF_supply,Solid_fossil_fuels,0.0
47,2036,reg1,SFF_supply,Solid_fossil_fuels,0.0
48,2037,reg1,SFF_supply,Solid_fossil_fuels,0.0
49,2038,reg1,SFF_supply,Solid_fossil_fuels,0.0
50,2039,reg1,SFF_supply,Solid_fossil_fuels,0.0
51,2040,reg1,SFF_supply,Solid_fossil_fuels,0.0
52,2041,reg1,SFF_supply,Solid_fossil_fuels,0.0
53,2042,reg1,SFF_supply,Solid_fossil_fuels,0.0
54,2043,reg1,SFF_supply,Solid_fossil_fuels,0.0
55,2044,reg1,SFF_supply,Solid_fossil_fuels,0.0
56,2045,reg1,SFF_supply,Solid_fossil_fuels,0.0
57,2046,reg1,SFF_supply,Solid_fossil_fuels,0.0
58,2047,reg1,SFF_supply,Solid_fossil_fuels,0.0
59,2048,reg1,SFF_supply,Solid_fossil_fuels,0.0
60,2049,reg1,SFF_supply,Solid_fossil_fuels,0.0
61,2050,reg1,SFF_supply,Solid_fossil_fuels,0.0
62,2051,reg1,SFF_supply,Solid_fossil_fuels,0.0
63,2052,reg1,SFF_supply,Solid_fossil_fuels,0.0
64,2053,reg1,SFF_supply,Solid_fossil_fuels,0.0
65,2054,reg1,SFF_supply,Solid_fossil_fuels,0.0
66,2055,reg1,SFF_supply,Solid_fossil_fuels,0.0
67,2056,reg1,SFF_supply,Solid_fossil_fuels,0.0
68,2057,reg1,SFF_supply,Solid_fossil_fuels,0.0
69,2058,reg1,SFF_supply,Solid_fossil_fuels,0.0
70,2059,reg1,SFF_supply,Solid_fossil_fuels,0.0
71,2060,reg1,SFF_supply,Solid_fossil_fuels,0.0
72,2025,reg1,OP_supply,Petroleum_products,50896.446174116936
73,2026,reg1,OP_supply,Petroleum_products,49199.89796831307
74,2027,reg1,OP_supply,Petroleum_products,47503.34976250914
75,2028,reg1,OP_supply,Petroleum_products,45806.801556705264
76,2029,reg1,OP_supply,Petroleum_products,44110.253350901345
77,2030,reg1,OP_supply,Petroleum_products,42413.70514509745
78,2031,reg1,OP_supply,Petroleum_products,40717.15693929352
79,2032,reg1,OP_supply,Petroleum_products,39020.60873348966
80,2033,reg1,OP_supply,Petroleum_products,37324.06052768575
81,2034,reg1,OP_supply,Petroleum_products,35627.512321881884
82,2035,reg1,OP_supply,Petroleum_products,33930.96411607797
83,2036,reg1,OP_supply,Petroleum_products,32234.415910274063
84,2037,reg1,OP_supply,Petroleum_products,30537.867704470158
85,2038,reg1,OP_supply,Petroleum_products,28841.319498666282
86,2039,reg1,OP_supply,Petroleum_products,27144.77129286238
87,2040,reg1,OP_supply,Petroleum_products,25448.22308705847
88,2041,reg1,OP_supply,Petroleum_products,23751.674881254603
89,2042,reg1,OP_supply,Petroleum_products,22055.126675450687
90,2043,reg1,OP_supply,Petroleum_products,20358.578469646793
91,2044,reg1,OP_supply,Petroleum_products,18662.030263842884
92,2045,reg1,OP_supply,Petroleum_products,16965.482058039
93,2046,reg1,OP_supply,Petroleum_products,15268.933852235108
94,2047,reg1,OP_supply,Petroleum_products,13572.385646431192
95,2048,reg1,OP_supply,Petroleum_products,11875.837440627303
96,2049,reg1,OP_supply,Petroleum_products,10179.2892348234
97,2050,reg1,OP_supply,Petroleum_products,8482.7410290195
98,2051,reg1,OP_supply,Petroleum_products,6786.192823215595
99,2052,reg1,OP_supply,Petroleum_products,5089.644617411699
100,2053,reg1,OP_supply,Petroleum_products,3393.0964116078003
101,2054,reg1,OP_supply,Petroleum_products,1696.548205803897
102,2055,reg1,OP_supply,Petroleum_products,0.0
103,2056,reg1,OP_supply,Petroleum_products,0.0
104,2057,reg1,OP_supply,Petroleum_products,0.0
105,2058,reg1,OP_supply,Petroleum_products,0.0
106,2059,reg1,OP_supply,Petroleum_products,0.0
107,2060,reg1,OP_supply,Petroleum_products,0.0
108,2025,reg1,BW_supply,Biofuels_waste,58447.122226788386
109,2026,reg1,BW_supply,Biofuels_waste,56109.23733771684
110,2027,reg1,BW_supply,Biofuels_waste,53771.35244864531
111,2028,reg1,BW_supply,Biofuels_waste,51433.46755957378
112,2029,reg1,BW_supply,Biofuels_waste,49095.58267050224
113,2030,reg1,BW_supply,Biofuels_waste,46757.69778143069
114,2031,reg1,BW_supply,Biofuels_waste,44419.81289235917
115,2032,reg1,BW_supply,Biofuels_waste,42081.928003287605
116,2033,reg1,BW_supply,Biofuels_waste,39744.04311421607
117,2034,reg1,BW_supply,Biofuels_waste,37406.15822514454
118,2035,reg1,BW_supply,Biofuels_waste,35068.273336073
119,2036,reg1,BW_supply,Biofuels_waste,32730.388447001475
120,2037,reg1,BW_supply,Biofuels_waste,30392.503557929933
121,2038,reg1,BW_supply,Biofuels_waste,28054.61866885839
122,2039,reg1,BW_supply,Biofuels_waste,25716.733779786853
123,2040,reg1,BW_supply,Biofuels_waste,23378.84889071532
