,Year,Region,Technology,Carrier,Value
0,2025,reg1,Pump_hydro_ST,Electricity,0.0
1,2026,reg1,Pump_hydro_ST,Electricity,0.0
2,2027,reg1,Pump_hydro_ST,Electricity,73.14169542230911
3,2028,reg1,Pump_hydro_ST,Electricity,4458.30351792584
4,2029,reg1,Pump_hydro_ST,Electricity,7724.343068922294
5,2030,reg1,Pump_hydro_ST,Electricity,9727.061262845444
6,2031,reg1,Pump_hydro_ST,Electricity,11693.086493608342
7,2032,reg1,Pump_hydro_ST,Electricity,12567.493778374937
8,2033,reg1,Pump_hydro_ST,Electricity,11756.987777283852
9,2034,reg1,Pump_hydro_ST,Electricity,9120.866620583445
10,2035,reg1,Pump_hydro_ST,Electricity,9311.021933042186
11,2036,reg1,Pump_hydro_ST,Electricity,12991.693750002132
12,2037,reg1,Pump_hydro_ST,Electricity,10890.934376282954
13,2038,reg1,Pump_hydro_ST,Electricity,10369.70483944743
14,2039,reg1,Pump_hydro_ST,Electricity,11042.56233042888
15,2040,reg1,Pump_hydro_ST,Electricity,13214.34300674145
16,2041,reg1,Pump_hydro_ST,Electricity,13078.951851044545
17,2042,reg1,Pump_hydro_ST,Electricity,12875.756571523452
18,2043,reg1,Pump_hydro_ST,Electricity,12748.647622806178
19,2044,reg1,Pump_hydro_ST,Electricity,12663.84830682887
20,2045,reg1,Pump_hydro_ST,Electricity,13640.492901867809
21,2046,reg1,Pump_hydro_ST,Electricity,14218.574999999997
22,2047,reg1,Pump_hydro_ST,Electricity,14218.574999999997
23,2048,reg1,Pump_hydro_ST,Electricity,14927.635461257752
24,2049,reg1,Pump_hydro_ST,Electricity,15456.081836075362
25,2050,reg1,Pump_hydro_ST,Electricity,16697.910896569985
26,2051,reg1,Pump_hydro_ST,Electricity,16229.618033510656
27,2052,reg1,Pump_hydro_ST,Electricity,16227.237484191155
28,2053,reg1,Pump_hydro_ST,Electricity,16218.68298389473
29,2054,reg1,Pump_hydro_ST,Electricity,16144.610165883289
30,2055,reg1,Pump_hydro_ST,Electricity,17939.077054361012
31,2056,reg1,Pump_hydro_ST,Electricity,17969.449154852635
32,2057,reg1,Pump_hydro_ST,Electricity,17969.449154852537
33,2058,reg1,Pump_hydro_ST,Electricity,18218.22865401166
34,2059,reg1,Pump_hydro_ST,Electricity,15687.621763761275
35,2060,reg1,Pump_hydro_ST,Electricity,17475.277342502144
36,2025,reg1,Electrochemical_ST,Electricity,0.0
37,2026,reg1,Electrochemical_ST,Electricity,0.0
38,2027,reg1,Electrochemical_ST,Electricity,3435.5505922507955
39,2028,reg1,Electrochemical_ST,Electricity,3877.237855144331
40,2029,reg1,Electrochemical_ST,Electricity,3877.237855144331
41,2030,reg1,Electrochemical_ST,Electricity,3877.237855144331
42,2031,reg1,Electrochemical_ST,Electricity,3877.237855144331
