,Year,Region,Technology,Carrier,Value
0,2025,reg1,NG_supply,NG,267511.1777264894
1,2026,reg1,NG_supply,NG,274441.0988560161
2,2027,reg1,NG_supply,NG,263000.39535928424
3,2028,reg1,NG_supply,NG,255476.3406553095
4,2029,reg1,NG_supply,NG,242031.30878218103
5,2030,reg1,NG_supply,NG,230969.73082788702
6,2031,reg1,NG_supply,NG,218052.19939697802
7,2032,reg1,NG_supply,NG,203748.3742018454
8,2033,reg1,NG_supply,NG,190466.46037232815
9,2034,reg1,NG_supply,NG,177334.70579988672
10,2035,reg1,NG_supply,NG,169371.79089612697
11,2036,reg1,NG_supply,NG,166636.31066644914
12,2037,reg1,NG_supply,NG,165539.37432868377
13,2038,reg1,NG_supply,NG,159167.54968981096
14,2039,reg1,NG_supply,NG,147599.19637170056
15,2040,reg1,NG_supply,NG,133549.8574059034
16,2041,reg1,NG_supply,NG,136324.56822229593
17,2042,reg1,NG_supply,NG,139548.25223250556
18,2043,reg1,NG_supply,NG,142156.5834583576
19,2044,reg1,NG_supply,NG,144960.59071410575
20,2045,reg1,NG_supply,NG,147765.90606090563
21,2046,reg1,NG_supply,NG,143325.49028744936
22,2047,reg1,NG_supply,NG,143678.72389666847
23,2048,reg1,NG_supply,NG,135442.37698583698
24,2049,reg1,NG_supply,NG,125934.98461082068
25,2050,reg1,NG_supply,NG,115977.7688672592
26,2051,reg1,NG_supply,NG,116359.14263460881
27,2052,reg1,NG_supply,NG,118054.84602805856
28,2053,reg1,NG_supply,NG,120820.87168020834
29,2054,reg1,NG_supply,NG,127731.43332946884
30,2055,reg1,NG_supply,NG,133750.78897967486
31,2056,reg1,NG_supply,NG,141045.2586733061
32,2057,reg1,NG_supply,NG,145218.30240314105
33,2058,reg1,NG_supply,NG,157149.65842050908
34,2059,reg1,NG_supply,NG,162637.66771922202
35,2060,reg1,NG_supply,NG,167828.8742047249
36,2025,reg1,SFF_supply,Solid_fossil_fuels,9540.399291570613
37,2026,reg1,SFF_supply,Solid_fossil_fuels,7209.914226554355
38,2027,reg1,SFF_supply,Solid_fossil_fuels,4232.958989393169
39,2028,reg1,SFF_supply,Solid_fossil_fuels,3833.9033275753154
40,2029,reg1,SFF_supply,Solid_fossil_fuels,3410.9043260483922
41,2030,reg1,SFF_supply,Solid_fossil_fuels,0.0
42,2031,reg1,SFF_supply,Solid_fossil_fuels,0.0
43,2032,reg1,SFF_supply,Solid_fossil_fuels,0.0
44,2033,reg1,SFF_supply,Solid_fossil_fuels,0.0
45,2034,reg1,SFF_supply,Solid_fossil_fuels,0.0
46,2035,reg1,SFF_supply,Solid_fossil_fuels,0.0
47,2036,reg1,SFF_supply,Solid_fossil_fuels,0.0
