,Year,Timesteps,Region,Technology,Carrier,Value
0,2025,1,reg1,Pump_hydro_ST,Electricity,0.0
1,2025,2,reg1,Pump_hydro_ST,Electricity,0.0
2,2025,3,reg1,Pump_hydro_ST,Electricity,0.0
3,2025,4,reg1,Pump_hydro_ST,Electricity,0.0
4,2025,5,reg1,Pump_hydro_ST,Electricity,0.0
5,2025,6,reg1,Pump_hydro_ST,Electricity,0.0
6,2025,7,reg1,Pump_hydro_ST,Electricity,0.0
7,2025,8,reg1,Pump_hydro_ST,Electricity,0.0
8,2025,9,reg1,Pump_hydro_ST,Electricity,0.0
9,2025,10,reg1,Pump_hydro_ST,Electricity,0.0
10,2025,11,reg1,Pump_hydro_ST,Electricity,0.0
11,2025,12,reg1,Pump_hydro_ST,Electricity,0.0
12,2025,13,reg1,Pump_hydro_ST,Electricity,0.0
13,2025,14,reg1,Pump_hydro_ST,Electricity,0.0
14,2025,15,reg1,Pump_hydro_ST,Electricity,0.0
15,2025,16,reg1,Pump_hydro_ST,Electricity,0.0
16,2025,17,reg1,Pump_hydro_ST,Electricity,0.0
17,2025,18,reg1,Pump_hydro_ST,Electricity,0.0
18,2025,19,reg1,Pump_hydro_ST,Electricity,0.0
19,2025,20,reg1,Pump_hydro_ST,Electricity,0.0
20,2025,21,reg1,Pump_hydro_ST,Electricity,0.0
21,2025,22,reg1,Pump_hydro_ST,Electricity,0.0
22,2025,23,reg1,Pump_hydro_ST,Electricity,0.0
23,2025,24,reg1,Pump_hydro_ST,Electricity,0.0
24,2026,1,reg1,Pump_hydro_ST,Electricity,0.0
25,2026,2,reg1,Pump_hydro_ST,Electricity,0.0
26,2026,3,reg1,Pump_hydro_ST,Electricity,0.0
27,2026,4,reg1,Pump_hydro_ST,Electricity,0.0
28,2026,5,reg1,Pump_hydro_ST,Electricity,0.0
29,2026,6,reg1,Pump_hydro_ST,Electricity,0.0
30,2026,7,reg1,Pump_hydro_ST,Electricity,0.0
31,2026,8,reg1,Pump_hydro_ST,Electricity,0.0
32,2026,9,reg1,Pump_hydro_ST,Electricity,0.0
33,2026,10,reg1,Pump_hydro_ST,Electricity,0.0
34,2026,11,reg1,Pump_hydro_ST,Electricity,0.0
35,2026,12,reg1,Pump_hydro_ST,Electricity,0.0
36,2026,13,reg1,Pump_hydro_ST,Electricity,0.0
37,2026,14,reg1,Pump_hydro_ST,Electricity,0.0
38,2026,15,reg1,Pump_hydro_ST,Electricity,0.0
39,2026,16,reg1,Pump_hydro_ST,Electricity,0.0
40,2026,17,reg1,Pump_hydro_ST,Electricity,0.0
41,2026,18,reg1,Pump_hydro_ST,Electricity,0.0
42,2026,19,reg1,Pump_hydro_ST,Electricity,0.0
43,2026,20,reg1,Pump_hydro_ST,Electricity,0.0
44,2026,21,reg1,Pump_hydro_ST,Electricity,0.0
45,2026,22,reg1,Pump_hydro_ST,Electricity,0.0
46,2026,23,reg1,Pump_hydro_ST,Electricity,0.0
47,2026,24,reg1,Pump_hydro_ST,Electricity,0.0
48,2027,1,reg1,Pump_hydro_ST,Electricity,0.0
49,2027,2,reg1,Pump_hydro_ST,Electricity,0.0
50,2027,3,reg1,Pump_hydro_ST,Electricity,0.0
51,2027,4,reg1,Pump_hydro_ST,Electricity,0.0
52,2027,5,reg1,Pump_hydro_ST,Electricity,0.0
53,2027,6,reg1,Pump_hydro_ST,Electricity,73.1416954223073
54,2027,7,reg1,Pump_hydro_ST,Electricity,0.0
55,2027,8,reg1,Pump_hydro_ST,Electricity,0.0
56,2027,9,reg1,Pump_hydro_ST,Electricity,0.0
57,2027,10,reg1,Pump_hydro_ST,Electricity,0.0
58,2027,11,reg1,Pump_hydro_ST,Electricity,0.0
59,2027,12,reg1,Pump_hydro_ST,Electricity,0.0
60,2027,13,reg1,Pump_hydro_ST,Electricity,0.0
61,2027,14,reg1,Pump_hydro_ST,Electricity,0.0
62,2027,15,reg1,Pump_hydro_ST,Electricity,0.0
63,2027,16,reg1,Pump_hydro_ST,Electricity,0.0
64,2027,17,reg1,Pump_hydro_ST,Electricity,0.0
65,2027,18,reg1,Pump_hydro_ST,Electricity,0.0
66,2027,19,reg1,Pump_hydro_ST,Electricity,0.0
67,2027,20,reg1,Pump_hydro_ST,Electricity,0.0
68,2027,21,reg1,Pump_hydro_ST,Electricity,0.0
69,2027,22,reg1,Pump_hydro_ST,Electricity,0.0
70,2027,23,reg1,Pump_hydro_ST,Electricity,0.0
71,2027,24,reg1,Pump_hydro_ST,Electricity,0.0
72,2028,1,reg1,Pump_hydro_ST,Electricity,0.0
73,2028,2,reg1,Pump_hydro_ST,Electricity,0.0
74,2028,3,reg1,Pump_hydro_ST,Electricity,0.0
75,2028,4,reg1,Pump_hydro_ST,Electricity,0.0
76,2028,5,reg1,Pump_hydro_ST,Electricity,549.9288956305359
77,2028,6,reg1,Pump_hydro_ST,Electricity,2343.12460005259
78,2028,7,reg1,Pump_hydro_ST,Electricity,1457.1549783590774
79,2028,8,reg1,Pump_hydro_ST,Electricity,108.09504388363575
80,2028,9,reg1,Pump_hydro_ST,Electricity,0.0
81,2028,10,reg1,Pump_hydro_ST,Electricity,0.0
82,2028,11,reg1,Pump_hydro_ST,Electricity,0.0
83,2028,12,reg1,Pump_hydro_ST,Electricity,0.0
84,2028,13,reg1,Pump_hydro_ST,Electricity,0.0
85,2028,14,reg1,Pump_hydro_ST,Electricity,0.0
86,2028,15,reg1,Pump_hydro_ST,Electricity,0.0
