,Year,Region,Technology,Carrier,Value
0,2025,reg1,Pump_hydro_ST,Electricity,0.0
1,2026,reg1,Pump_hydro_ST,Electricity,0.0
2,2027,reg1,Pump_hydro_ST,Electricity,73.1416954223073
3,2028,reg1,Pump_hydro_ST,Electricity,4458.303517925839
4,2029,reg1,Pump_hydro_ST,Electricity,7258.46889899889
5,2030,reg1,Pump_hydro_ST,Electricity,10545.223402167685
6,2031,reg1,Pump_hydro_ST,Electricity,13838.233424211814
7,2032,reg1,Pump_hydro_ST,Electricity,14727.186196870498
8,2033,reg1,Pump_hydro_ST,Electricity,15471.433865946221
9,2034,reg1,Pump_hydro_ST,Electricity,16220.62051977019
10,2035,reg1,Pump_hydro_ST,Electricity,17047.243125784087
11,2036,reg1,Pump_hydro_ST,Electricity,17640.946616724483
12,2037,reg1,Pump_hydro_ST,Electricity,18200.49734375976
13,2038,reg1,Pump_hydro_ST,Electricity,21955.646514250722
14,2039,reg1,Pump_hydro_ST,Electricity,25786.599593216135
15,2040,reg1,Pump_hydro_ST,Electricity,25666.091687841574
16,2041,reg1,Pump_hydro_ST,Electricity,29286.2174020018
17,2042,reg1,Pump_hydro_ST,Electricity,29017.62677518093
18,2043,reg1,Pump_hydro_ST,Electricity,28950.319284751557
19,2044,reg1,Pump_hydro_ST,Electricity,29004.274888180007
20,2045,reg1,Pump_hydro_ST,Electricity,28911.102499999986
21,2046,reg1,Pump_hydro_ST,Electricity,28437.149999999983
22,2047,reg1,Pump_hydro_ST,Electricity,27963.197499999984
23,2048,reg1,Pump_hydro_ST,Electricity,27489.244999999984
24,2049,reg1,Pump_hydro_ST,Electricity,27437.83236042418
25,2050,reg1,Pump_hydro_ST,Electricity,27739.26628064814
26,2051,reg1,Pump_hydro_ST,Electricity,26377.921162976236
27,2052,reg1,Pump_hydro_ST,Electricity,25593.434999999983
28,2053,reg1,Pump_hydro_ST,Electricity,25119.482499999984
29,2054,reg1,Pump_hydro_ST,Electricity,24645.529999999984
30,2055,reg1,Pump_hydro_ST,Electricity,24171.577499999985
31,2056,reg1,Pump_hydro_ST,Electricity,23697.62499999999
32,2057,reg1,Pump_hydro_ST,Electricity,22497.75964644744
33,2058,reg1,Pump_hydro_ST,Electricity,21284.358966035674
34,2059,reg1,Pump_hydro_ST,Electricity,20685.401910960594
35,2060,reg1,Pump_hydro_ST,Electricity,20783.670037935182
36,2025,reg1,Electrochemical_ST,Electricity,0.0
37,2026,reg1,Electrochemical_ST,Electricity,0.0
38,2027,reg1,Electrochemical_ST,Electricity,3435.5505922507973
39,2028,reg1,Electrochemical_ST,Electricity,3877.237855144331
40,2029,reg1,Electrochemical_ST,Electricity,3877.2378551443317
41,2030,reg1,Electrochemical_ST,Electricity,3877.237855144331
42,2031,reg1,Electrochemical_ST,Electricity,3877.237855144331
